lead_id,lead_date,campaign_id,campaign_name,marketing_channel,target_segment,funnel_stage,is_mql,is_sql,is_opportunity,is_customer,deal_value_usd,days_to_close
LEAD-20241671,2025-12-04,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241672,2025-05-26,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241673,2024-03-01,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,10
LEAD-20241674,2025-08-21,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241675,2024-03-29,CMP-02,Enterprise Search Dominance,Google Ads,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241676,2024-05-05,CMP-08,High-Intent Keyword Capture,Google Ads,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,4
LEAD-20241677,2024-11-13,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),SMB,Marketing Qualified Lead,1,0,0,0,0.0,10
LEAD-20241678,2025-07-25,CMP-03,SaaS Growth Nurture Series,Email Marketing,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,34
LEAD-20241679,2024-05-30,CMP-02,Enterprise Search Dominance,Google Ads,Enterprise,Sales Qualified Lead,1,1,0,0,0.0,30
LEAD-20241680,2024-06-18,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Mid-Market,Opportunity,1,1,1,0,0.0,43
LEAD-20241681,2025-11-03,CMP-02,Enterprise Search Dominance,Google Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,4
LEAD-20241682,2024-10-30,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,16
LEAD-20241683,2024-04-14,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,7
LEAD-20241684,2024-02-16,CMP-02,Enterprise Search Dominance,Google Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,6
LEAD-20241685,2025-11-20,CMP-09,Customer Reactivation Drip,Email Marketing,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,32
LEAD-20241686,2025-09-12,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241687,2025-04-06,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,32
LEAD-20241688,2025-11-21,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241689,2024-08-27,CMP-02,Enterprise Search Dominance,Google Ads,Enterprise,Sales Qualified Lead,1,1,0,0,0.0,40
LEAD-20241690,2025-09-16,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,3
LEAD-20241691,2025-01-19,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,8
LEAD-20241692,2024-12-04,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Enterprise,Sales Qualified Lead,1,1,0,0,0.0,38
LEAD-20241693,2025-06-14,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,15
LEAD-20241694,2024-08-24,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241695,2024-04-30,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241696,2024-05-21,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241697,2024-10-27,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241698,2024-09-28,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Marketing Qualified Lead,1,0,0,0,0.0,15
LEAD-20241699,2025-02-08,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241700,2024-06-30,CMP-03,SaaS Growth Nurture Series,Email Marketing,SMB,Sales Qualified Lead,1,1,0,0,0.0,45
LEAD-20241701,2025-10-15,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,4
LEAD-20241702,2025-05-16,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241703,2025-06-21,CMP-03,SaaS Growth Nurture Series,Email Marketing,SMB,Sales Qualified Lead,1,1,0,0,0.0,35
LEAD-20241704,2024-07-22,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,9
LEAD-20241705,2024-04-22,CMP-09,Customer Reactivation Drip,Email Marketing,SMB,Marketing Qualified Lead,1,0,0,0,0.0,12
LEAD-20241706,2025-08-07,CMP-09,Customer Reactivation Drip,Email Marketing,Enterprise,Sales Qualified Lead,1,1,0,0,0.0,27
LEAD-20241707,2025-08-16,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241708,2024-12-29,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241709,2024-05-10,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,19
LEAD-20241710,2024-02-08,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Opportunity,1,1,1,0,0.0,88
LEAD-20241711,2024-01-28,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241712,2025-01-04,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,3
LEAD-20241713,2025-10-16,CMP-02,Enterprise Search Dominance,Google Ads,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,10
LEAD-20241714,2024-04-21,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),SMB,Marketing Qualified Lead,1,0,0,0,0.0,11
LEAD-20241715,2024-07-06,CMP-03,SaaS Growth Nurture Series,Email Marketing,SMB,Opportunity,1,1,1,0,0.0,73
LEAD-20241716,2024-09-30,CMP-03,SaaS Growth Nurture Series,Email Marketing,Mid-Market,Opportunity,1,1,1,0,0.0,43
LEAD-20241717,2025-01-30,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,28
LEAD-20241718,2025-08-29,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Enterprise,Sales Qualified Lead,1,1,0,0,0.0,11
LEAD-20241719,2024-11-16,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241720,2024-09-18,CMP-03,SaaS Growth Nurture Series,Email Marketing,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241721,2024-06-17,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,13
LEAD-20241722,2025-06-01,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241723,2025-02-21,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),SMB,Marketing Qualified Lead,1,0,0,0,0.0,11
LEAD-20241724,2024-05-25,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,17
LEAD-20241725,2024-12-01,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),SMB,Marketing Qualified Lead,1,0,0,0,0.0,3
LEAD-20241726,2024-04-16,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241727,2025-07-11,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,5
LEAD-20241728,2024-08-06,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Sales Qualified Lead,1,1,0,0,0.0,13
LEAD-20241729,2025-01-23,CMP-03,SaaS Growth Nurture Series,Email Marketing,SMB,Marketing Qualified Lead,1,0,0,0,0.0,17
LEAD-20241730,2025-08-27,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Opportunity,1,1,1,0,0.0,82
LEAD-20241731,2024-10-10,CMP-09,Customer Reactivation Drip,Email Marketing,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,9
LEAD-20241732,2025-10-06,CMP-03,SaaS Growth Nurture Series,Email Marketing,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,19
LEAD-20241733,2024-03-07,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241734,2024-06-03,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,39
LEAD-20241735,2025-10-20,CMP-08,High-Intent Keyword Capture,Google Ads,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,9
LEAD-20241736,2025-01-17,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241737,2025-10-03,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241738,2024-11-28,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,12
LEAD-20241739,2025-05-30,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,16
LEAD-20241740,2024-04-20,CMP-09,Customer Reactivation Drip,Email Marketing,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,15
LEAD-20241741,2024-05-18,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,32
LEAD-20241742,2025-04-18,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,8
LEAD-20241743,2025-11-08,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241744,2024-01-29,CMP-02,Enterprise Search Dominance,Google Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,14
LEAD-20241745,2024-01-02,CMP-09,Customer Reactivation Drip,Email Marketing,Mid-Market,Opportunity,1,1,1,0,0.0,69
LEAD-20241746,2024-12-29,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241747,2025-07-08,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Enterprise,Closed Won,1,1,1,1,27881.95,105
LEAD-20241748,2024-01-21,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Marketing Qualified Lead,1,0,0,0,0.0,12
LEAD-20241749,2025-11-01,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Sales Qualified Lead,1,1,0,0,0.0,37
LEAD-20241750,2025-07-17,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Closed Won,1,1,1,1,2822.71,57
LEAD-20241751,2025-04-30,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,11
LEAD-20241752,2025-11-13,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241753,2024-05-30,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241754,2024-02-06,CMP-02,Enterprise Search Dominance,Google Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,6
LEAD-20241755,2024-10-30,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,4
LEAD-20241756,2024-12-06,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Mid-Market,Opportunity,1,1,1,0,0.0,45
LEAD-20241757,2024-11-10,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,12
LEAD-20241758,2025-02-27,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Marketing Qualified Lead,1,0,0,0,0.0,9
LEAD-20241759,2025-09-24,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241760,2024-11-04,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,9
LEAD-20241761,2024-11-03,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241762,2024-12-14,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),SMB,Opportunity,1,1,1,0,0.0,32
LEAD-20241763,2024-07-05,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241764,2024-03-09,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,10
LEAD-20241765,2024-05-01,CMP-03,SaaS Growth Nurture Series,Email Marketing,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,7
LEAD-20241766,2024-11-12,CMP-09,Customer Reactivation Drip,Email Marketing,Enterprise,Sales Qualified Lead,1,1,0,0,0.0,29
LEAD-20241767,2024-07-07,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,9
LEAD-20241768,2024-05-22,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241769,2024-03-08,CMP-03,SaaS Growth Nurture Series,Email Marketing,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,20
LEAD-20241770,2024-06-18,CMP-03,SaaS Growth Nurture Series,Email Marketing,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,29
LEAD-20241771,2025-01-02,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,13
LEAD-20241772,2024-04-16,CMP-02,Enterprise Search Dominance,Google Ads,SMB,Opportunity,1,1,1,0,0.0,85
LEAD-20241773,2024-05-06,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),SMB,Marketing Qualified Lead,1,0,0,0,0.0,11
LEAD-20241774,2025-08-17,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),SMB,Marketing Qualified Lead,1,0,0,0,0.0,9
LEAD-20241775,2024-07-07,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,15
LEAD-20241776,2025-07-13,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Enterprise,Sales Qualified Lead,1,1,0,0,0.0,34
LEAD-20241777,2024-02-22,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,12
LEAD-20241778,2024-07-10,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Mid-Market,Opportunity,1,1,1,0,0.0,36
LEAD-20241779,2025-01-18,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241780,2025-02-01,CMP-08,High-Intent Keyword Capture,Google Ads,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,6
LEAD-20241781,2024-07-23,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),Enterprise,Sales Qualified Lead,1,1,0,0,0.0,44
LEAD-20241782,2024-11-24,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241783,2024-07-24,CMP-09,Customer Reactivation Drip,Email Marketing,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,4
LEAD-20241784,2025-07-20,CMP-08,High-Intent Keyword Capture,Google Ads,Enterprise,Sales Qualified Lead,1,1,0,0,0.0,17
LEAD-20241785,2024-10-02,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,17
LEAD-20241786,2025-08-22,CMP-02,Enterprise Search Dominance,Google Ads,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241787,2025-08-09,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,3
LEAD-20241788,2025-08-03,CMP-08,High-Intent Keyword Capture,Google Ads,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,14
LEAD-20241789,2024-07-15,CMP-08,High-Intent Keyword Capture,Google Ads,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,11
LEAD-20241790,2025-05-16,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241791,2024-04-26,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,7
LEAD-20241792,2024-01-26,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241793,2024-12-29,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241794,2025-08-03,CMP-02,Enterprise Search Dominance,Google Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,16
LEAD-20241795,2024-05-30,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,7
LEAD-20241796,2025-03-30,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),SMB,Marketing Qualified Lead,1,0,0,0,0.0,8
LEAD-20241797,2025-06-19,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241798,2024-01-13,CMP-03,SaaS Growth Nurture Series,Email Marketing,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,4
LEAD-20241799,2025-03-30,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,8
LEAD-20241800,2025-08-14,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,12
LEAD-20241801,2025-04-16,CMP-02,Enterprise Search Dominance,Google Ads,Mid-Market,Opportunity,1,1,1,0,0.0,72
LEAD-20241802,2025-09-03,CMP-08,High-Intent Keyword Capture,Google Ads,SMB,Opportunity,1,1,1,0,0.0,59
LEAD-20241803,2024-05-26,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241804,2024-09-27,CMP-03,SaaS Growth Nurture Series,Email Marketing,Enterprise,Opportunity,1,1,1,0,0.0,54
LEAD-20241805,2025-11-22,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,12
LEAD-20241806,2024-10-17,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,9
LEAD-20241807,2024-02-28,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,4
LEAD-20241808,2025-02-03,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241809,2025-06-24,CMP-08,High-Intent Keyword Capture,Google Ads,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241810,2024-02-20,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Mid-Market,Opportunity,1,1,1,0,0.0,74
LEAD-20241811,2024-06-23,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,8
LEAD-20241812,2025-09-17,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Mid-Market,Opportunity,1,1,1,0,0.0,59
LEAD-20241813,2024-07-27,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Enterprise,Sales Qualified Lead,1,1,0,0,0.0,15
LEAD-20241814,2025-06-19,CMP-03,SaaS Growth Nurture Series,Email Marketing,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,3
LEAD-20241815,2025-02-02,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Sales Qualified Lead,1,1,0,0,0.0,14
LEAD-20241816,2024-10-07,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,14
LEAD-20241817,2024-06-03,CMP-09,Customer Reactivation Drip,Email Marketing,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241818,2024-12-21,CMP-02,Enterprise Search Dominance,Google Ads,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,3
LEAD-20241819,2025-04-18,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Sales Qualified Lead,1,1,0,0,0.0,26
LEAD-20241820,2024-04-27,CMP-09,Customer Reactivation Drip,Email Marketing,Enterprise,Sales Qualified Lead,1,1,0,0,0.0,23
LEAD-20241821,2025-07-02,CMP-09,Customer Reactivation Drip,Email Marketing,Mid-Market,Opportunity,1,1,1,0,0.0,21
LEAD-20241822,2025-06-10,CMP-02,Enterprise Search Dominance,Google Ads,Enterprise,Sales Qualified Lead,1,1,0,0,0.0,38
LEAD-20241823,2024-10-31,CMP-02,Enterprise Search Dominance,Google Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,17
LEAD-20241824,2024-03-25,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),SMB,Marketing Qualified Lead,1,0,0,0,0.0,10
LEAD-20241825,2024-12-03,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,3
LEAD-20241826,2024-05-11,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Enterprise,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241827,2024-04-17,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Opportunity,1,1,1,0,0.0,81
LEAD-20241828,2025-03-15,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Enterprise,Sales Qualified Lead,1,1,0,0,0.0,22
LEAD-20241829,2025-04-08,CMP-03,SaaS Growth Nurture Series,Email Marketing,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241830,2025-01-06,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241831,2024-10-25,CMP-09,Customer Reactivation Drip,Email Marketing,SMB,Closed Won,1,1,1,1,5014.97,120
LEAD-20241832,2024-03-18,CMP-03,SaaS Growth Nurture Series,Email Marketing,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241833,2024-11-04,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Opportunity,1,1,1,0,0.0,27
LEAD-20241834,2024-04-30,CMP-03,SaaS Growth Nurture Series,Email Marketing,SMB,Marketing Qualified Lead,1,0,0,0,0.0,19
LEAD-20241835,2024-05-13,CMP-08,High-Intent Keyword Capture,Google Ads,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241836,2024-03-28,CMP-09,Customer Reactivation Drip,Email Marketing,SMB,Sales Qualified Lead,1,1,0,0,0.0,28
LEAD-20241837,2024-07-04,CMP-06,Creator Industry Endorsement,Influencer Partnerships,Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,18
LEAD-20241838,2024-09-15,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,SMB,Sales Qualified Lead,1,1,0,0,0.0,31
LEAD-20241839,2024-03-12,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),SMB,Marketing Qualified Lead,1,0,0,0,0.0,17
LEAD-20241840,2025-10-10,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,16
LEAD-20241841,2025-12-16,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241842,2025-01-07,CMP-08,High-Intent Keyword Capture,Google Ads,Mid-Market,Sales Qualified Lead,1,1,0,0,0.0,30
LEAD-20241843,2024-04-08,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241844,2024-09-01,CMP-02,Enterprise Search Dominance,Google Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,7
LEAD-20241845,2025-10-23,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),Mid-Market,Marketing Qualified Lead,1,0,0,0,0.0,20
LEAD-20241846,2024-04-07,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Marketing Qualified Lead,1,0,0,0,0.0,20
LEAD-20241847,2024-12-13,CMP-04,Thought Leadership Whitepaper,Organic Search (SEO),SMB,Sales Qualified Lead,1,1,0,0,0.0,23
LEAD-20241848,2025-02-23,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241849,2024-02-19,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,3
LEAD-20241850,2025-10-05,CMP-07,Mid-Market Webinar Series,LinkedIn Ads,SMB,Sales Qualified Lead,1,1,0,0,0.0,10
LEAD-20241851,2024-01-05,CMP-03,SaaS Growth Nurture Series,Email Marketing,SMB,Sales Qualified Lead,1,1,0,0,0.0,10
LEAD-20241852,2024-03-24,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),SMB,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241853,2024-03-27,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),Enterprise,Marketing Qualified Lead,1,0,0,0,0.0,16
LEAD-20241854,2025-07-05,CMP-02,Enterprise Search Dominance,Google Ads,Mid-Market,Lead Inbound,0,0,0,0,0.0,0
LEAD-20241855,2025-05-27,CMP-09,Customer Reactivation Drip,Email Marketing,Mid-Market,Opportunity,1,1,1,0,0.0,55
LEAD-20241856,2025-05-16,CMP-10,Summer Tech Brand Campaign,Meta (Facebook/IG),SMB,Sales Qualified Lead,1,1,0,0,0.0,10
LEAD-20241857,2025-05-14,CMP-01,Q1 Product Launch Summit,LinkedIn Ads,Enterprise,Closed Won,1,1,1,1,28995.77,95
LEAD-20241858,2024-05-14,CMP-06,Creator Industry Endorsement,Influencer Partnerships,SMB,Marketing Qualified Lead,1,0,0,0,0.0,14
LEAD-20241859,2024-02-14,CMP-05,Retargeting & Social Boost,Meta (Facebook/IG),SMB,Marketing Qualified Lead,1,0,0,0,0.0,17
