shipment_id,order_date,supplier_id,supplier_name,supplier_tier,warehouse_id,origin_warehouse,carrier_name,weight_kg,shipping_cost_usd,scheduled_delivery_date,actual_delivery_date,delivery_delay_days,delivery_status,on_time_flag,damage_flag
SHP-20241315,2024-09-20,SUP-03,Delta Electronics Hub,Tier 1,WH-KOL-04,East Gateway (Kolkata),Regional Truckload,633.7,498.3,2024-09-24,2024-09-25,1,Delayed,0,0
SHP-20241316,2024-06-18,SUP-07,Hind Cargo Aggregates,Tier 3,WH-KOL-04,East Gateway (Kolkata),Standard Rail Transport,203.25,218.58,2024-06-22,2024-06-22,0,On-Time,1,0
SHP-20241317,2025-11-15,SUP-05,Falcon Fasteners Corp,Tier 2,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,34.49,102.25,2025-11-18,2025-11-21,3,Delayed,0,0
SHP-20241318,2024-04-27,SUP-07,Hind Cargo Aggregates,Tier 3,WH-MUM-02,West Port (Mumbai),Express Air Freight,408.95,806.88,2024-05-03,2024-05-05,2,Delayed,0,0
SHP-20241319,2024-03-18,SUP-06,Global Polymer Solutions,Tier 2,WH-MUM-02,West Port (Mumbai),Standard Rail Transport,497.62,361.43,2024-03-22,2024-03-24,2,Delayed,0,0
SHP-20241320,2024-05-24,SUP-05,Falcon Fasteners Corp,Tier 2,WH-KOL-04,East Gateway (Kolkata),Standard Rail Transport,756.13,565.35,2024-05-28,2024-05-29,1,Delayed,0,0
SHP-20241321,2025-10-23,SUP-07,Hind Cargo Aggregates,Tier 3,WH-BLR-03,South Central (Bengaluru),Regional Truckload,210.86,204.36,2025-10-25,2025-10-25,0,On-Time,1,0
SHP-20241322,2024-08-04,SUP-04,Evergreen Raw Materials,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,287.4,224.14,2024-08-10,2024-08-10,0,On-Time,1,0
SHP-20241323,2025-12-02,SUP-03,Delta Electronics Hub,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Express Air Freight,783.29,1528.14,2025-12-07,2025-12-07,0,On-Time,1,0
SHP-20241324,2024-10-17,SUP-01,Apex Precision Components,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,36.02,123.5,2024-10-19,2024-10-19,0,On-Time,1,0
SHP-20241325,2024-02-09,SUP-07,Hind Cargo Aggregates,Tier 3,WH-MUM-02,West Port (Mumbai),Standard Rail Transport,389.68,319.06,2024-02-15,2024-02-15,0,On-Time,1,0
SHP-20241326,2024-03-16,SUP-01,Apex Precision Components,Tier 1,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,510.73,989.61,2024-03-18,2024-03-18,0,On-Time,1,0
SHP-20241327,2025-07-28,SUP-01,Apex Precision Components,Tier 1,WH-BLR-03,South Central (Bengaluru),Express Air Freight,325.96,640.56,31/07/2025,2025-08-01,1,Delayed,0,0
SHP-20241328,2025-05-19,SUP-04,Evergreen Raw Materials,Tier 2,WH-KOL-04,East Gateway (Kolkata),Regional Truckload,343.52,257.37,2025-05-21,2025-05-27,6,Delayed,0,0
SHP-20241329,2024-03-12,SUP-02,Bharat Heavy Forgings,Tier 1,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,828.31,1626.36,2024-03-15,2024-03-20,5,Delayed,0,0
SHP-20241330,2025-07-08,SUP-03,Delta Electronics Hub,Tier 1,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,842.06,1651.72,2025-07-13,2025-07-15,2,Delayed,0,0
SHP-20241331,2024-04-11,SUP-08,Indus Logistics Fab,Tier 3,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,89.93,114.33,2024-04-16,2024-04-17,1,Delayed,0,0
SHP-20241332,2025-06-05,SUP-06,Global Polymer Solutions,Tier 2,WH-MUM-02,West Port (Mumbai),Express Air Freight,400.02,803.32,2025-06-10,2025-06-11,1,Delayed,0,0
SHP-20241333,2024-01-29,SUP-08,Indus Logistics Fab,Tier 3,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,228.81,193.78,2024-02-04,2024-02-04,0,On-Time,1,0
SHP-20241334,2024-05-09,SUP-06,Global Polymer Solutions,Tier 2,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,230.23,303.13,2024-05-13,2024-05-14,1,Delayed,0,0
SHP-20241335,2024-06-27,SUP-07,Hind Cargo Aggregates,Tier 3,WH-BLR-03,South Central (Bengaluru),Priority Surface Cargo,262.45,365.34,2024-06-30,2024-06-30,0,On-Time,1,0
SHP-20241336,2024-07-23,SUP-02,Bharat Heavy Forgings,Tier 1,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,799.39,973.52,2024-07-29,2024-08-02,4,Delayed,0,0
SHP-20241337,2025-05-11,SUP-01,Apex Precision Components,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Standard Rail Transport,84.97,130.38,2025-05-14,2025-05-15,1,Delayed,0,0
SHP-20241338,2024-08-01,SUP-06,Global Polymer Solutions,Tier 2,WH-KOL-04,East Gateway (Kolkata),Standard Rail Transport,284.82,233.01,2024-08-07,2024-08-09,2,Delayed,0,0
SHP-20241339,2024-04-09,SUP-02,Bharat Heavy Forgings,Tier 1,WH-MUM-02,West Port (Mumbai),Standard Rail Transport,752.05,520.9,2024-04-15,2024-04-15,0,On-Time,1,0
SHP-20241340,2024-03-13,SUP-05,Falcon Fasteners Corp,Tier 2,WH-BLR-03,South Central (Bengaluru),Regional Truckload,152.82,171.74,2024-03-15,2024-03-15,0,On-Time,1,0
SHP-20241341,2024-09-30,SUP-08,Indus Logistics Fab,Tier 3,WH-BLR-03,South Central (Bengaluru),Regional Truckload,222.04,207.36,2024-10-02,2024-10-03,1,Delayed,0,0
SHP-20241342,2025-07-09,SUP-07,Hind Cargo Aggregates,Tier 3,WH-BLR-03,South Central (Bengaluru),Express Air Freight,512.72,1039.67,2025-07-12,2025-07-18,6,Delayed,0,0
SHP-20241343,2025-06-04,SUP-07,Hind Cargo Aggregates,Tier 3,WH-MUM-02,West Port (Mumbai),Express Air Freight,403.76,784.97,2025-06-08,2025-06-09,1,Delayed,0,0
SHP-20241344,2025-03-12,SUP-01,Apex Precision Components,Tier 1,WH-KOL-04,East Gateway (Kolkata),Regional Truckload,20.07,102.88,2025-03-18,2025-03-19,1,Delayed,0,0
SHP-20241345,2025-01-27,SUP-06,Global Polymer Solutions,Tier 2,WH-MUM-02,West Port (Mumbai),Standard Rail Transport,63.25,92.68,2025-01-30,2025-02-01,2,Delayed,0,0
SHP-20241346,2025-01-09,SUP-01,Apex Precision Components,Tier 1,WH-BLR-03,South Central (Bengaluru),Express Air Freight,392.09,815.71,2025-01-12,2025-01-16,4,Delayed,0,0
SHP-20241347,2025-10-27,SUP-02,Bharat Heavy Forgings,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Express Air Freight,430.61,869.01,2025-10-29,2025-10-29,0,On-Time,1,0
SHP-20241348,2025-07-23,SUP-07,Hind Cargo Aggregates,Tier 3,WH-MUM-02,West Port (Mumbai),Express Air Freight,147.14,360.09,2025-07-26,2025-07-26,0,On-Time,1,0
SHP-20241349,2025-08-13,SUP-03,Delta Electronics Hub,Tier 1,WH-MUM-02,West Port (Mumbai),Express Air Freight,697.33,1326.61,2025-08-15,2025-08-15,0,On-Time,1,0
SHP-20241350,2025-10-07,SUP-03,Delta Electronics Hub,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Standard Rail Transport,104.05,146.75,2025-10-11,2025-10-12,1,Delayed,0,0
SHP-20241351,2024-10-08,SUP-06,Global Polymer Solutions,Tier 2,WH-MUM-02,West Port (Mumbai),Regional Truckload,413.38,360.74,2024-10-10,2024-10-13,3,Delayed,0,0
SHP-20241352,2025-10-19,SUP-06,Global Polymer Solutions,Tier 2,WH-MUM-02,West Port (Mumbai),Express Air Freight,285.44,572.08,2025-10-23,2025-10-25,2,Delayed,0,0
SHP-20241353,2024-10-17,SUP-01,Apex Precision Components,Tier 1,WH-MUM-02,West Port (Mumbai),Standard Rail Transport,356.54,266.31,2024-10-22,2024-10-22,0,On-Time,1,0
SHP-20241354,2025-06-30,SUP-01,Apex Precision Components,Tier 1,WH-BLR-03,South Central (Bengaluru),Priority Surface Cargo,188.34,277.23,2025-07-06,2025-07-07,1,Delayed,0,0
SHP-20241355,2025-05-24,SUP-05,Falcon Fasteners Corp,Tier 2,WH-MUM-02,West Port (Mumbai),Regional Truckload,481.48,363.35,2025-05-27,2025-05-27,0,On-Time,1,0
SHP-20241356,2025-03-05,SUP-05,Falcon Fasteners Corp,Tier 2,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,108.33,168.24,2025-03-07,2025-03-08,1,Delayed,0,0
SHP-20241357,2025-04-24,SUP-01,Apex Precision Components,Tier 1,WH-BLR-03,South Central (Bengaluru),Regional Truckload,59.44,113.35,2025-04-27,2025-04-30,3,Delayed,0,0
SHP-20241358,2024-03-10,SUP-07,Hind Cargo Aggregates,Tier 3,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,634.47,1207.15,2024-03-16,2024-03-16,0,On-Time,1,0
SHP-20241359,2025-05-09,SUP-08,Indus Logistics Fab,Tier 3,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,587.74,677.8,2025-05-11,2025-05-13,2,Delayed,0,0
SHP-20241360,2025-01-10,SUP-07,Hind Cargo Aggregates,Tier 3,WH-KOL-04,East Gateway (Kolkata),Standard Rail Transport,625.57,462.93,2025-01-13,2025-01-14,1,Delayed,0,0
SHP-20241361,2025-08-27,SUP-08,Indus Logistics Fab,Tier 3,WH-MUM-02,West Port (Mumbai),Standard Rail Transport,341.05,315.27,2025-09-01,2025-09-05,4,Delayed,0,0
SHP-20241362,2025-10-04,SUP-02,Bharat Heavy Forgings,Tier 1,WH-MUM-02,West Port (Mumbai),Standard Rail Transport,280.55,243.85,2025-10-10,2025-10-11,1,Delayed,0,0
SHP-20241363,2025-08-08,SUP-04,Evergreen Raw Materials,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Express Air Freight,-700.99,1344.91,2025-08-11,2025-08-11,0,On-Time,1,0
SHP-20241364,2025-07-22,SUP-02,Bharat Heavy Forgings,Tier 1,WH-BLR-03,South Central (Bengaluru),Express Air Freight,711.35,1355.63,2025-07-27,2025-07-31,4,Delayed,0,0
SHP-20241365,2025-06-15,SUP-01,Apex Precision Components,Tier 1,WH-MUM-02,West Port (Mumbai),Priority Surface Cargo,506.78,614.07,2025-06-20,2025-06-20,0,On-Time,1,0
SHP-20241366,2024-08-31,SUP-07,Hind Cargo Aggregates,Tier 3,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,89.14,205.98,2024-09-03,2024-09-16,13,Delayed,0,0
SHP-20241367,2024-06-24,SUP-03,Delta Electronics Hub,Tier 1,WH-MUM-02,West Port (Mumbai),Priority Surface Cargo,492.18,582.46,2024-06-30,2024-06-30,0,On-Time,1,0
SHP-20241368,2025-06-14,SUP-05,Falcon Fasteners Corp,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,304.54,384.46,2025-06-17,2025-06-17,0,On-Time,1,0
SHP-20241369,2025-05-31,SUP-02,Bharat Heavy Forgings,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,501.5,390.68,2025-06-06,2025-06-06,0,On-Time,1,0
SHP-20241370,2025-09-30,SUP-06,Global Polymer Solutions,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Standard Rail Transport,350.23,275.75,2025-10-05,2025-10-09,4,Delayed,0,0
SHP-20241371,2024-10-17,SUP-08,Indus Logistics Fab,Tier 3,WH-MUM-02,West Port (Mumbai),Express Air Freight,240.29,526.07,2024-10-23,2024-10-24,1,Delayed,0,0
SHP-20241372,2025-03-25,SUP-03,Delta Electronics Hub,Tier 1,WH-BLR-03,South Central (Bengaluru),Standard Rail Transport,270.06,226.51,2025-03-27,2025-03-31,4,Delayed,0,0
SHP-20241373,2025-07-23,SUP-05,Falcon Fasteners Corp,Tier 2,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,686.3,833.64,2025-07-27,2025-08-04,8,Delayed,0,0
SHP-20241374,2024-07-27,SUP-08,Indus Logistics Fab,Tier 3,WH-MUM-02,West Port (Mumbai),Express Air Freight,80.81,193.12,2024-07-30,2024-07-31,1,Delayed,0,0
SHP-20241375,2025-03-04,SUP-08,Indus Logistics Fab,Tier 3,WH-DEL-01,North Hub (Delhi-NCR),Standard Rail Transport,50.47,87.21,2025-03-07,2025-03-10,3,Delayed,0,0
SHP-20241376,2025-12-13,SUP-04,Evergreen Raw Materials,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Express Air Freight,439.41,868.04,2025-12-17,2025-12-18,1,Delayed,0,0
SHP-20241377,2024-11-23,SUP-01,Apex Precision Components,Tier 1,WH-BLR-03,South Central (Bengaluru),Regional Truckload,127.26,111.26,2024-11-28,2024-11-30,2,Delayed,0,0
SHP-20241378,2025-07-03,SUP-05,Falcon Fasteners Corp,Tier 2,WH-KOL-04,East Gateway (Kolkata),Regional Truckload,294.45,274.4,2025-07-07,2025-07-07,0,On-Time,1,0
SHP-20241379,2025-01-09,SUP-03,Delta Electronics Hub,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Standard Rail Transport,255.86,237.4,2025-01-11,2025-01-11,0,On-Time,1,0
SHP-20241380,2025-12-07,SUP-08,Indus Logistics Fab,Tier 3,WH-BLR-03,South Central (Bengaluru),Priority Surface Cargo,29.85,72.33,2025-12-10,2025-12-13,3,Delayed,0,0
SHP-20241381,2025-10-05,SUP-03,Delta Electronics Hub,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Standard Rail Transport,625.65,481.93,2025-10-09,2025-10-11,2,Delayed,0,0
SHP-20241382,2024-10-21,SUP-08,Indus Logistics Fab,Tier 3,WH-KOL-04,East Gateway (Kolkata),Standard Rail Transport,666.14,470.3,2024-10-23,2024-10-30,7,Delayed,0,0
SHP-20241383,2024-05-29,SUP-08,Indus Logistics Fab,Tier 3,WH-MUM-02,West Port (Mumbai),Regional Truckload,415.57,338.91,2024-06-01,2024-06-05,4,Delayed,0,0
SHP-20241384,2024-01-26,SUP-05,Falcon Fasteners Corp,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,126.18,225.77,2024-01-28,2024-02-05,8,Delayed,0,0
SHP-20241385,2025-12-15,SUP-01,Apex Precision Components,Tier 1,WH-BLR-03,South Central (Bengaluru),Regional Truckload,532.81,385.65,2025-12-20,2025-12-21,1,Delayed,0,0
SHP-20241386,2025-11-30,SUP-02,Bharat Heavy Forgings,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Express Air Freight,457.75,931.31,2025-12-03,2025-12-03,0,On-Time,1,0
SHP-20241387,2025-09-29,SUP-05,Falcon Fasteners Corp,Tier 2,WH-MUM-02,West Port (Mumbai),Express Air Freight,194.82,442.14,2025-10-04,2025-10-05,1,Delayed,0,0
SHP-20241388,2025-07-24,SUP-05,Falcon Fasteners Corp,Tier 2,WH-BLR-03,South Central (Bengaluru),Express Air Freight,392.43,804.92,2025-07-26,2025-07-26,0,On-Time,1,0
SHP-20241389,2025-06-28,SUP-05,Falcon Fasteners Corp,Tier 2,WH-MUM-02,West Port (Mumbai),Express Air Freight,197.76,451.63,2025-07-02,2025-07-05,3,Delayed,0,0
SHP-20241390,2024-01-01,SUP-08,Indus Logistics Fab,Tier 3,WH-BLR-03,South Central (Bengaluru),Express Air Freight,516.18,983.58,2024-01-06,2024-01-09,3,Delayed,0,0
SHP-20241391,2025-10-18,SUP-04,Evergreen Raw Materials,Tier 2,WH-BLR-03,South Central (Bengaluru),Express Air Freight,78.69,221.7,2025-10-22,2025-10-23,1,Delayed,0,0
SHP-20241392,2024-03-30,SUP-04,Evergreen Raw Materials,Tier 2,WH-KOL-04,East Gateway (Kolkata),Standard Rail Transport,350.55,261.3,2024-04-03,2024-04-03,0,On-Time,1,0
SHP-20241393,2024-08-24,SUP-03,Delta Electronics Hub,Tier 1,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,298.14,389.63,2024-08-27,2024-09-02,6,Delayed,0,0
SHP-20241394,2024-10-05,SUP-08,Indus Logistics Fab,Tier 3,WH-KOL-04,East Gateway (Kolkata),Regional Truckload,374.94,275.02,2024-10-10,2024-10-10,0,On-Time,1,0
SHP-20241395,2024-01-15,SUP-07,Hind Cargo Aggregates,Tier 3,WH-BLR-03,South Central (Bengaluru),Regional Truckload,155.87,158.56,2024-01-21,2024-01-24,3,Delayed,0,0
SHP-20241396,2025-09-15,SUP-05,Falcon Fasteners Corp,Tier 2,WH-KOL-04,East Gateway (Kolkata),Regional Truckload,626.66,482.2,2025-09-19,2025-09-21,2,Delayed,0,0
SHP-20241397,2025-05-27,SUP-03,Delta Electronics Hub,Tier 1,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,402.54,770.23,2025-05-31,2025-06-08,8,Delayed,0,0
SHP-20241398,2024-12-06,SUP-01,Apex Precision Components,Tier 1,WH-BLR-03,South Central (Bengaluru),Standard Rail Transport,190.33,204.02,2024-12-10,2024-12-10,0,On-Time,1,0
SHP-20241399,2024-11-03,SUP-05,Falcon Fasteners Corp,Tier 2,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,375.29,500.85,2024-11-07,2024-11-08,1,Delayed,0,0
SHP-20241400,2024-06-05,SUP-03,Delta Electronics Hub,Tier 1,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,341.31,674.33,2024-06-09,2024-06-09,0,On-Time,1,0
SHP-20241401,2024-05-05,SUP-05,Falcon Fasteners Corp,Tier 2,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,119.4,250.44,2024-05-07,2024-05-08,1,delayed  ,0,0
SHP-20241402,2025-11-17,SUP-02,Bharat Heavy Forgings,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,589.63,707.36,2025-11-21,2025-11-21,0,On-Time,1,0
SHP-20241403,2025-03-22,SUP-05,Falcon Fasteners Corp,Tier 2,WH-BLR-03,South Central (Bengaluru),Standard Rail Transport,387.67,308.87,2025-03-26,2025-03-26,0,On-Time,1,0
SHP-20241404,2024-02-29,SUP-08,Indus Logistics Fab,Tier 3,WH-BLR-03,South Central (Bengaluru),Regional Truckload,136.99,135.43,2024-03-03,2024-03-09,6,Delayed,0,0
SHP-20241405,2025-11-01,SUP-06,Global Polymer Solutions,Tier 2,WH-KOL-04,East Gateway (Kolkata),Regional Truckload,815.51,555.82,2025-11-03,2025-11-08,5,Delayed,0,0
SHP-20241406,2024-01-24,SUP-01,Apex Precision Components,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Standard Rail Transport,163.3,132.89,2024-01-27,2024-01-27,0,On-Time,1,0
SHP-20241407,2025-06-17,SUP-02,Bharat Heavy Forgings,Tier 1,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,428.85,872.06,2025-06-22,2025-06-25,3,Delayed,0,0
SHP-20241408,2025-05-30,SUP-06,Global Polymer Solutions,Tier 2,WH-MUM-02,West Port (Mumbai),Regional Truckload,493.44,404.62,2025-06-03,2025-06-03,0,On-Time,1,0
SHP-20241409,2024-09-19,SUP-04,Evergreen Raw Materials,Tier 2,WH-MUM-02,West Port (Mumbai),Regional Truckload,241.46,237.59,2024-09-24,2024-09-24,0,On-Time,1,0
SHP-20241410,2024-10-13,SUP-02,Bharat Heavy Forgings,Tier 1,WH-MUM-02,West Port (Mumbai),Priority Surface Cargo,440.46,538.56,2024-10-17,2024-10-21,4,Delayed,0,0
SHP-20241411,2025-06-06,SUP-07,Hind Cargo Aggregates,Tier 3,WH-MUM-02,West Port (Mumbai),Priority Surface Cargo,138.98,229.11,2025-06-11,2025-06-11,0,On-Time,1,0
SHP-20241412,2024-03-12,SUP-08,Indus Logistics Fab,Tier 3,WH-MUM-02,West Port (Mumbai),Priority Surface Cargo,373.77,462.62,2024-03-18,2024-03-18,0,On-Time,1,0
SHP-20241413,2025-12-12,SUP-07,Hind Cargo Aggregates,Tier 3,WH-KOL-04,East Gateway (Kolkata),Regional Truckload,791.51,561.81,2025-12-18,2025-12-18,0,On-Time,1,0
SHP-20241414,2024-11-02,SUP-06,Global Polymer Solutions,Tier 2,WH-MUM-02,West Port (Mumbai),Express Air Freight,481.82,920.36,2024-11-08,2024-11-12,4,Delayed,0,0
SHP-20241415,2024-04-27,SUP-02,Bharat Heavy Forgings,Tier 1,WH-BLR-03,South Central (Bengaluru),Standard Rail Transport,465.07,328.05,2024-05-03,2024-05-03,0,On-Time,1,0
SHP-20241416,2024-06-13,SUP-03,Delta Electronics Hub,Tier 1,WH-KOL-04,East Gateway (Kolkata),Regional Truckload,413.05,295.17,2024-06-17,2024-06-21,4,Delayed,0,0
SHP-20241417,2024-06-12,SUP-01,Apex Precision Components,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,25.02,52.06,2024-06-18,2024-06-18,0,On-Time,1,0
SHP-20241418,2025-08-10,SUP-03,Delta Electronics Hub,Tier 1,WH-BLR-03,South Central (Bengaluru),Regional Truckload,771.11,533.36,2025-08-15,2025-08-16,1,Delayed,0,0
SHP-20241419,2024-02-24,SUP-08,Indus Logistics Fab,Tier 3,WH-MUM-02,West Port (Mumbai),Regional Truckload,519.45,414.63,2024-03-01,2024-03-06,5,Delayed,0,0
SHP-20241420,2025-09-23,SUP-04,Evergreen Raw Materials,Tier 2,WH-KOL-04,East Gateway (Kolkata),Regional Truckload,371.81,291.76,2025-09-28,2025-10-04,6,Delayed,0,0
SHP-20241421,2025-09-29,SUP-05,Falcon Fasteners Corp,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Priority Surface Cargo,416.89,503.49,2025-10-04,2025-10-05,1,Delayed,0,0
SHP-20241422,2025-11-01,SUP-05,Falcon Fasteners Corp,Tier 2,WH-KOL-04,East Gateway (Kolkata),Standard Rail Transport,191.32,203.5,2025-11-06,2025-11-11,5,Delayed,0,0
SHP-20241423,2024-12-19,SUP-03,Delta Electronics Hub,Tier 1,WH-MUM-02,West Port (Mumbai),Regional Truckload,396.61,313.99,2024-12-22,2024-12-22,0,On-Time,1,0
SHP-20241424,2025-05-21,SUP-04,Evergreen Raw Materials,Tier 2,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,161.19,323.64,2025-05-25,2025-05-26,1,Delayed,0,0
SHP-20241425,2025-05-30,SUP-06,Global Polymer Solutions,Tier 2,WH-MUM-02,West Port (Mumbai),Priority Surface Cargo,330.39,401.14,2025-06-04,2025-06-05,1,Delayed,0,0
SHP-20241426,2025-05-14,SUP-02,Bharat Heavy Forgings,Tier 1,WH-BLR-03,South Central (Bengaluru),Regional Truckload,730.57,564.86,2025-05-17,2025-05-18,1,Delayed,0,0
SHP-20241427,2025-10-15,SUP-06,Global Polymer Solutions,Tier 2,WH-MUM-02,West Port (Mumbai),Express Air Freight,530.66,1072.75,2025-10-21,2025-10-21,0,On-Time,1,0
SHP-20241428,2024-06-19,SUP-05,Falcon Fasteners Corp,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,90.74,149.57,2024-06-22,2024-06-22,0,On-Time,1,0
SHP-20241429,2024-02-01,SUP-03,Delta Electronics Hub,Tier 1,WH-BLR-03,South Central (Bengaluru),Priority Surface Cargo,324.64,441.95,2024-02-04,2024-02-04,0,On-Time,1,0
SHP-20241430,2024-09-20,SUP-01,Apex Precision Components,Tier 1,WH-BLR-03,South Central (Bengaluru),Regional Truckload,745.47,510.18,2024-09-22,2024-09-22,0,On-Time,1,0
SHP-20241431,2024-04-14,SUP-04,Evergreen Raw Materials,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Express Air Freight,832.48,1585.09,2024-04-20,2024-04-20,0,On-Time,1,0
SHP-20241432,2025-04-09,SUP-01,Apex Precision Components,Tier 1,WH-MUM-02,West Port (Mumbai),Priority Surface Cargo,530.16,614.1,2025-04-14,2025-04-15,1,Delayed,0,0
SHP-20241433,2025-10-28,SUP-07,Hind Cargo Aggregates,Tier 3,WH-BLR-03,South Central (Bengaluru),Standard Rail Transport,100.89,102.48,2025-11-03,2025-11-03,0,On-Time,1,0
SHP-20241434,2024-04-28,SUP-01,Apex Precision Components,Tier 1,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,421.34,544.97,2024-05-03,2024-05-05,2,Delayed,0,0
SHP-20241435,2025-03-13,SUP-06,Global Polymer Solutions,Tier 2,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,811.93,981.9,2025-03-18,2025-03-20,2,Delayed,0,0
SHP-20241436,2024-02-24,SUP-03,Delta Electronics Hub,Tier 1,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,220.78,179.15,2024-02-29,2024-02-29,0,On-Time,1,0
SHP-20241437,2024-10-11,SUP-04,Evergreen Raw Materials,Tier 2,WH-KOL-04,East Gateway (Kolkata),Regional Truckload,837.62,575.44,2024-10-13,2024-10-22,9,Delayed,0,0
SHP-20241438,2025-07-20,SUP-03,Delta Electronics Hub,Tier 1,WH-KOL-04,East Gateway (Kolkata),Express Air Freight,25.15,92.07,2025-07-26,2025-07-27,1,Delayed,0,0
SHP-20241439,2024-11-11,SUP-03,Delta Electronics Hub,Tier 1,WH-KOL-04,East Gateway (Kolkata),Priority Surface Cargo,419.94,494.07,2024-11-17,2024-11-21,4,Delayed,0,0
SHP-20241440,2025-06-28,SUP-04,Evergreen Raw Materials,Tier 2,WH-MUM-02,West Port (Mumbai),Priority Surface Cargo,810.25,921.65,2025-07-04,2025-07-05,1,Delayed,0,0
SHP-20241441,2025-12-04,SUP-05,Falcon Fasteners Corp,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Regional Truckload,747.0,516.8,2025-12-08,2025-12-08,0,On-Time,1,0
SHP-20241442,2025-05-30,SUP-02,Bharat Heavy Forgings,Tier 1,WH-KOL-04,East Gateway (Kolkata),Standard Rail Transport,821.72,560.13,2025-06-03,2025-06-08,5,delayed  ,0,0
SHP-20241443,2025-08-19,SUP-05,Falcon Fasteners Corp,Tier 2,WH-MUM-02,West Port (Mumbai),Express Air Freight,204.32,454.08,2025-08-24,2025-08-25,1,Delayed,0,0
SHP-20241444,2024-02-04,SUP-04,Evergreen Raw Materials,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Express Air Freight,706.97,1348.39,2024-02-09,2024-02-09,0,On-Time,1,0
SHP-20241445,2024-03-20,SUP-08,Indus Logistics Fab,Tier 3,WH-MUM-02,West Port (Mumbai),Regional Truckload,145.16,122.26,2024-03-24,2024-03-24,0,On-Time,1,0
SHP-20241446,2024-04-04,SUP-04,Evergreen Raw Materials,Tier 2,WH-KOL-04,East Gateway (Kolkata),Regional Truckload,829.89,587.65,2024-04-06,2024-04-06,0,On-Time,1,0
SHP-20241447,2025-04-11,SUP-08,Indus Logistics Fab,Tier 3,WH-DEL-01,North Hub (Delhi-NCR),Express Air Freight,706.01,1348.93,2025-04-16,2025-04-17,1,Delayed,0,0
SHP-20241448,2025-04-29,SUP-05,Falcon Fasteners Corp,Tier 2,WH-KOL-04,East Gateway (Kolkata),Standard Rail Transport,782.46,558.88,2025-05-03,2025-05-06,3,Delayed,0,0
SHP-20241449,2025-08-09,SUP-05,Falcon Fasteners Corp,Tier 2,WH-DEL-01,North Hub (Delhi-NCR),Express Air Freight,679.58,1289.3,2025-08-15,2025-08-21,6,Delayed,0,0
SHP-20241450,2025-07-30,SUP-01,Apex Precision Components,Tier 1,WH-MUM-02,West Port (Mumbai),Regional Truckload,255.67,244.23,2025-08-04,2025-08-04,0,On-Time,1,0
